triple,both_id,men_id,women_id,months,max_abs_error_000s,status
ALL 16+ | Employed part time (persons who usually work less than 35 hours),LNU02600000,LNU02600001,LNU02600002,701,631.0,4 fail
ages=55 years and over | Employed part time (persons who usually work less than 35 hours),LNU02624230,LNU02624231,LNU02624232,485,3.0,1 fail
"indy=Mining, quarrying, and oil and gas extraction | Employed",LNU02034561,LNU02037823,LNU02037917,521,3.0,1 fail
ages=25 years and over | Civilian labor force,LNU01000048,LNU01000049,LNU01000050,941,3.0,1 fail
ages=25 to 54 years | Civilian labor force,LNU01000060,LNU01000061,LNU01000062,941,3.0,1 fail
ages=25 years and over | Employed,LNU02000048,LNU02000049,LNU02000050,941,3.0,1 fail
ages=25 to 54 years | Unemployed,LNU03000060,LNU03000061,LNU03000062,941,3.0,1 fail
ages=25 years and over | Unemployed looking for full-time work,LNU03100048,LNU03100049,LNU03100050,600,3.0,2 fail
ages=25 years and over | Employed part time (persons who usually work less than 35 hours),LNU02600048,LNU02600049,LNU02600050,485,3.0,1 fail
ages=25 years and over | Unemployed looking for part-time work,LNU03200048,LNU03200049,LNU03200050,600,3.0,1 fail
ages=25 to 54 years | Employed full time (persons who usually work 35 hours or more),LNU02500060,LNU02500061,LNU02500062,485,3.0,1 fail
ages=25 to 54 years | Employed part time (persons who usually work less than 35 hours),LNU02600060,LNU02600061,LNU02600062,485,3.0,2 fail
ages=25 years and over | Employed full time (persons who usually work 35 hours or more),LNU02500048,LNU02500049,LNU02500050,485,3.0,4 fail
race=White | Not in labor force,LNU05000003,LNU05000004,LNU05000005,600,2.0,OK
ages=25 to 34 years | Civilian noninstitutional population,LNU00000089,LNU00000164,LNU00000327,941,2.0,OK
ages=35 to 44 years | Civilian noninstitutional population,LNU00000091,LNU00000173,LNU00000334,941,2.0,OK
race=Black or African American | Civilian noninstitutional population,LNU00000006,LNU00000007,LNU00000008,653,2.0,OK
race=Black or African American | Civilian labor force,LNU01000006,LNU01000007,LNU01000008,653,2.0,OK
orig=Hispanic or Latino | Not in labor force,LNU05000009,LNU05000010,LNU05000011,600,2.0,OK
ages=25 to 34 years | Civilian labor force,LNU01000089,LNU01000164,LNU01000327,941,2.0,OK
ages=35 to 44 years | Civilian labor force,LNU01000091,LNU01000173,LNU01000334,941,2.0,OK
ages=25 to 54 years | Unemployed looking for full-time work,LNU03100060,LNU03100061,LNU03100062,600,2.0,OK
ages=25 to 34 years | Employed,LNU02000089,LNU02000164,LNU02000327,941,2.0,OK
ages=25 to 34 years | Unemployed,LNU03000089,LNU03000164,LNU03000327,941,2.0,OK
orig=Hispanic or Latino | Unemployed,LNU03000009,LNU03000010,LNU03000011,600,2.0,OK
ages=25 to 34 years | Not in labor force,LNU05000089,LNU05000164,LNU05000327,600,2.0,OK
expr=Experienced | Unemployed,LNU03009117,LNU03009133,LNU03009149,600,2.0,OK
orig=Hispanic or Latino | Employed,LNU02000009,LNU02000010,LNU02000011,600,2.0,OK
ages=25 to 54 years | Employed,LNU02000060,LNU02000061,LNU02000062,941,2.0,OK
orig=Hispanic or Latino | Civilian labor force,LNU01000009,LNU01000010,LNU01000011,600,2.0,OK
orig=Hispanic or Latino | Civilian noninstitutional population,LNU00000009,LNU00000010,LNU00000011,600,2.0,OK
ages=35 to 44 years | Employed,LNU02000091,LNU02000173,LNU02000334,941,2.0,OK
ages=25 to 54 years | Unemployed looking for part-time work,LNU03200060,LNU03200061,LNU03200062,600,2.0,OK
ALL 16+ | Civilian noninstitutional population,LNU00000000,LNU00000001,LNU00000002,941,2.0,OK
ages=35 to 44 years | Unemployed,LNU03000091,LNU03000173,LNU03000334,941,2.0,OK
ages=60 to 64 years | Unemployed,LNU03000096,LNU03000197,LNU03000352,600,2.0,OK
ages=55 to 59 years | Unemployed,LNU03000094,LNU03000189,LNU03000346,600,2.0,OK
ages=55 to 59 years | Not in labor force,LNU05000094,LNU05000189,LNU05000346,600,2.0,OK
ages=55 to 64 years | Civilian noninstitutional population,LNU00000095,LNU00000190,LNU00000347,941,2.0,OK
ages=55 to 64 years | Civilian labor force,LNU01000095,LNU01000190,LNU01000347,941,2.0,OK
ages=55 to 64 years | Employed,LNU02000095,LNU02000190,LNU02000347,941,2.0,OK
ages=60 to 64 years | Civilian noninstitutional population,LNU00000096,LNU00000197,LNU00000352,600,2.0,OK
ages=60 to 64 years | Civilian labor force,LNU01000096,LNU01000197,LNU01000352,600,2.0,OK
ages=60 to 64 years | Employed,LNU02000096,LNU02000197,LNU02000352,600,2.0,OK
ages=60 to 64 years | Not in labor force,LNU05000096,LNU05000197,LNU05000352,600,2.0,OK
ages=35 to 44 years | Not in labor force,LNU05000091,LNU05000173,LNU05000334,600,2.0,OK
